Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
882	-122.0647	-388.9278	266.8631	4.013609	0.130517	0.140845	0.0641646	0.664474	2.262061	0.7154427	0.420696	0.194549	0.056722	0.328034
888	-125.0731	-391.956	266.8829	4.013609	0.670487	0.139466	0.0444981	0.145549	2.314869	0.4996478	0.174651	0.137988	0.358031	0.32933
894	-126.1792	-394.6736	268.4944	1.494051	0.338957	0.180813	0.250494	0.229736	2.277818	0.6845714	0.137209	0.108406	0.55132	0.203066
900	-120.0483	-388.333	268.2847	1.77369	0.104908	0.00453857	0.872705	0.0178483	2.267612	0.660688	0.150813	0.61756	0.153006	0.078621
906	-129.8129	-396.6826	266.8698	3.776247	0.105398	0.0755268	0.320185	0.49889	2.40628	0.660688	0.257042	0.371523	0.173965	0.19747
912	-123.8025	-390.7755	266.973	4.071722	0.368118	0.132034	0.0849671	0.414881	2.064723	0.8015113	0.111471	0.0881235	0.374877	0.425529
918	-122.4312	-387.6526	265.2214	8.842134	0.140932	0.032166	0.140562	0.686341	2.068861	0.752676	0.815893	0.0146485	0.132881	0.0365775
924	-121.1332	-386.902	265.7687	6.639857	0.192612	0.307571	0.214665	0.285151	2.20649	0.7870996	0.338896	0.028495	0.258486	0.374123
930	-125.0286	-390.6031	265.5744	7.73352	0.232567	0.328838	0.205341	0.233254	1.99649	0.8319397	0.362705	0.0289061	0.283752	0.324637
936	-134.8954	-398.6037	263.7083	14.67334	0.125773	0.385998	0.185882	0.302348	2.124322	0.8319397	0.576916	0.0528704	0.166201	0.204013
942	-121.7926	-386.5414	264.7487	10.21721	0.0993513	0.546907	0.146833	0.206908	2.126556	0.8012954	0.660587	0.035986	0.164566	0.138861
948	-137.312	-404.7592	267.4472	2.942957	0.185412	0.512957	0.0230548	0.278577	2.270603	0.7073089	0.244565	0.0638292	0.291895	0.399711
954	-117.3458	-384.2395	266.8938	3.172936	0.321851	0.137754	0.205658	0.334737	1.524924	1.738436	0.317923	0.0992338	0.360552	0.222291
960	-127.4231	-392.5289	265.1058	9.34692	0.122327	0.285698	0.248696	0.343279	2.016254	0.7867857	0.374888	0.178412	0.203941	0.242759
966	-132.6965	-399.9184	267.222	3.420436	0.0277329	0.254986	0.00345052	0.713831	2.050244	0.9276262	0.458076	0.187187	0.284928	0.0698085
972	-113.527	-381.8439	268.3169	1.017409	0.0855082	0.216555	0.357318	0.34062	1.161766	2.117131	0.146616	0.692286	0.147249	0.0138488
978	-111.077	-378.5682	267.4912	2.394278	0.136052	0.40323	0.449688	0.0110299	1.422969	1.733471	0.525264	0.37035	0.054772	0.0496143
984	-107.8182	-375.8116	267.9934	2.188529	0.262961	0.113255	0.573564	0.0502208	1.892987	1.084926	0.254113	0.578112	0.148123	0.0196518
990	-110.0547	-374.9732	264.9185	7.924937	0.256565	0.0829127	0.131643	0.52888	2.261005	1.165974	0.348416	0.434519	0.119962	0.0971031
996	-107.0466	-374.8463	267.7998	2.006181	0.337856	0.0261656	0.144589	0.491389	2.060804	1.225638	0.168354	0.754028	0.0182258	0.0593928
